LCLid,total_daily,total_weekly,total_monthly,total_annual,min_cons,min_time,max_cons,max_time,peak_duration,avg_weekday,avg_weekend,avg_monthly,avg_seasonal,load_factor,ramp_rate,activation_hour,deactivation_hour,load_shift,occupancy_rate,variance,std_dev,weekends_impact,annual_trend,autocorr,crest_factor,kmeans_cluster,dbscan_cluster
MAC004637,13229.9559963,13229.9559963,13229.9559963,13229.9559963,0.131,17:30:00,7.0510001,07:00:00,9,0.4974769296296551,0.37553928608677484,661.4977998149999,0.46040332398268646,0.06563784129480776,0.09043631277942968,11.212730318257956,9.209380234505863,0.21089554198045424,0.8994974874371859,0.19660849533598246,0.44340556529658315,0.8114477608346414,,0.6590360295206427,11.001125293616644,3,-1
MAC004638,3662.8000001,3662.8000001,3662.8000000999996,3662.8000000999996,0.049,09:00:00,1.869,20:00:00,4,0.12734325939449076,0.1301983443212869,183.140000005,0.12681252827587555,0.06866248265863754,0.03870810414490914,14.587939698492463,5.221105527638191,0.06711983660195305,0.8994974874371859,0.01594449026668924,0.12627149427598153,1.0145132705097835,,0.4053241684057349,10.381320264364893,0,-1
MAC004642,3187.6150002000004,3187.6150002,3187.6150002,3187.6150002,0.0,11:00:00,1.626,13:30:00,6,0.10945704529176434,0.11590043803530453,159.38075000999999,0.11128966842323332,0.0685695288265581,0.03691577178634756,15.26465661641541,13.798994974874372,0.04152881237734975,0.8994974874371859,0.016646427607748805,0.1290210355242462,1.0395721736551686,,0.3506466675190632,9.535587706997104,0,-1
MAC004643,6772.3229975,6772.3229975,6772.3229975,6772.3229974999995,0.013,06:00:00,2.7639999,20:30:00,9,0.23199375435642874,0.24824501456508147,338.61614987500013,0.23853629539080318,0.08572190834642589,0.14547879768385932,16.849246231155778,8.256281407035177,0.15531118505389518,0.8994974874371859,0.08960461619137745,0.29934030164910547,1.0476526401041941,,0.33096559962061733,7.240171932021919,2,-1
MAC004644,3643.3169995,3643.3169995000003,3643.3169995,3643.3169995,0.011,00:30:00,1.78,16:00:00,49,0.1262136292192228,0.13139310591677097,182.16584997500001,0.12856640387398427,0.07172971098965025,0.12067123427490914,11.879396984924623,4.911222780569514,0.07671790118316928,0.8994974874371859,0.029026594993658617,0.17037193135507567,1.029085188425785,,0.18090668150163428,8.360634463363029,0,-1
MAC004645,3270.2590003,3270.2590003,3270.2590003000005,3270.2590003,0.0,13:00:00,2.0090001,16:30:00,5,0.11340774157721226,0.11648306999556735,163.51295001499997,0.11602704536980657,0.05694012520681537,0.03830314480707873,14.981574539363484,9.179229480737018,0.012726136373832755,0.8994974874371859,0.012878139880150984,0.11348189230071458,1.01834165502418,,0.30924458291742984,12.468072444914732,0,-1
MAC004646,16330.1629945,16330.1629945,16330.162994499999,16330.1629945,0.01,09:30:00,3.925,17:30:00,67,0.557822491241707,0.6037046723972675,816.5081497250001,0.5687851501956753,0.14577453773173035,0.2690934825928566,16.467336683417084,6.293132328308208,0.4175666733688977,0.8994974874371859,0.3836419872059155,0.6193883977004376,1.0550576355150452,,0.6582554478741656,4.654836515399237,3,-1
MAC004647,6156.1019986,6156.1019986,6156.1019986,6156.1019986,0.03,03:00:00,3.2809999,09:30:00,1,0.21414020571201425,0.2182181711146745,307.8050999299999,0.20994967008513804,0.06563661874656962,0.09255032348434426,10.463986599664992,7.705192629815746,0.10647946869694833,0.8994974874371859,0.03635376699994536,0.190666638403118,1.0132977290485,,0.2111323137965467,11.407104440899559,0,-1
MAC004648,3002.189,3002.1890000000003,3002.1890000000008,3002.1890000000003,0.006,20:00:00,1.079,16:30:00,29,0.10509575291394115,0.10436446078431379,150.10945,0.1045511329788806,0.09732007374076125,0.05429787680576276,16.693467336683415,8.175879396984925,0.04153376980119815,0.8994974874371859,0.009927402392545043,0.09963635075887235,0.9938681188371378,,0.19054487852643104,7.454009402454954,0,-1
MAC004649,9140.921003899999,9140.9210039,9140.9210039,9140.921003899999,0.044,23:30:00,4.3400002,20:30:00,3,0.5896994320553902,0.5664667554078014,761.7434169916668,0.6619665960508522,0.13435843960386942,0.11947642777671254,14.938837920489297,7.972477064220183,0.2304587444959062,0.8990825688073394,0.4396282245099067,0.6630446625302904,0.971448375276859,,0.8209691716566624,4.915267255842266,3,-1
